company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,state code,company_age,python,r,java,scala,sql,spark,aws,azure,airflow,snowflake,git
"Notion
","Data Engineer, Finance","San Francisco, CA","About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.
Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).
Show More
Report",190.0,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016.0, CA,7.0,0,1,0,0,0,0,0,0,0,0,0
"United Digestive
",Data Engineer,"Atlanta, GA","GENERAL SUMMARY OF DUTIES: United Digestive’s Data Engineer will be responsible for developing and maintaining data pipelines, data warehouses, and data models to support the company's Business Intelligence reporting initiatives.
REPORTS TO: Director of Business Intelligence & Analytics
RESPONSIBILITIES:
Duties may include but are not limited to:
Implement, maintain, and improve data integration processes to collect, process, and manage large datasets
Collaborate with stakeholders to understand business requirements and design data solutions that meet their needs





Show More
Report",90.5,501 to 1000 Employees,Company - Public,Healthcare,Health Care Services & Hospitals,2018.0, GA,5.0,0,1,0,0,0,0,0,0,0,0,0
"314E Corporation
",Epic Data Analytics Engineer,Remote,"Epic Clarity/Caboodle Certified
Need someone with programming background and education
Experience with Reporting and analytics
experience with technologies like - Tableau, PowerBI, SQL, Cloud, Python, reporting, AWS or GCP
No consultants. only folks who are currently FTEs
Open to Visa Transfers
Job Type: Full-time
Show More
Report",105.0,51 to 200 Employees,Company - Private,Healthcare,Health Care Services & Hospitals,2004.0,Remote,19.0,1,1,0,0,1,0,1,0,0,0,0
"Zions Bancorporation
",Data Engineer,"Salt Lake City, UT","Zions Bancorporation’s Enterprise Technology and Operations (ETO) team is transforming what it means to work for a financial institution. With a commitment to technology and innovation, we have been providing our community, clients and colleagues the best experience possible for over 150 years. Help us transform our workforce of the future, today.

We are seeking a Data Engineer to join our Data Platforms & Engineering team at Zions Bancorporation. The Engineering and Core Services organization is at the heart of innovation at Zions Bancorporation. We continually modernize on many of Zions’ key banking applications and its banking core. In addition to application development, we manage the key platforms, services, and processes which enable modernized engineering and IT operations and delivery through DevOps and lean principles. Ensuring scalable, quality, innovative solutions for our teams and our customers is integral to what we do. Come join us in transforming engineering and banking software!

The Data Engineer plays a key role in contributing to the success of the Zions team by delivering the following:

Develop and deploy enterprise grade platforms that enable data-driven solutions.
Provide guidance and participate in the modernization of the Zions technology portfolio.
Ensure delivery of highly available and scalable systems.
Analyze and designs technical solutions to address business needs.
Develop tests and modify software to improve efficiency of data platforms and applications. Provides technical support for issues.
Provide technical expertise where required within Information Technology Projects.
Prepare and maintain necessary documentation.
Participate in regular agile ceremonies, such as program increment planning, daily standups, team backlog grooming, iteration retrospectives, team demos and inspect & adapt, etc.
Other duties as assigned


Basic knowledge of search technology, building real-time data pipelines and various programming languages like Java and Python. Knowledge of ETL, UNIX/Linux, scheduling and orchestration tools and processes.
Previous experience in migrating legacy data into Salesforce or other related Salesforce experiences such as SOQL will be a major plus.
Experiences in DevOps, CI/CD, automation, and migration to the Cloud are highly desirable.
Requires a Bachelor's in Computer Science, Computer Engineering or related field and 4+ years of experience ETL, SQL, UNIX/Linux, Big Data distributed systems, various programming languages like Java and Python, orchestration tools and processes or other directly related experience.
Ability and desire to learn new technologies quickly.
Ability to elicit, gather and analyze user requirements.
Ability to work independently and collaborate with others at all levels of technical understanding.
Ability to communicate both verbally and in writing with both technical and non-technical staff.


Programming/Python/Scripting
Integration Fabric
Cloud (GCP, AWS, Azure, Terraform, Ansible)
CI/CD Pipeline
Site Reliability
Virtualization/Containers

A combination of education and experience may meet qualifications.


This position has a hybrid work from home schedule with a minimum of three days per week in the office at the new Zions Technology Center in Midvale, UT.

The Zions Technology Center is a 400,000-square-foot technology campus in Midvale, Utah. Located on the former Sharon Steel Mill superfund site, the sustainably built campus will be the company’s primary technology and operations center. This modern and environmentally friendly technology center will enable Zions to continue to compete for the best technology talent in the state while providing team members with an exceptional work environment with features such as:

Electric vehicle charging stations and close proximity to Historic Gardner Village UTA TRAX station.
At least 75% of the building is powered by on-site renewable solar energy.
Access to outdoor recreation, parks, trails, shareable bikes and locker rooms.
Large modern cafe with a healthy and diverse menu.
Healthy indoor environment with ample natural light and fresh air.
LEED-certified sustainable building that features include the use of low VOC-emitting construction materials.


Medical, Dental and Vision Insurance - START DAY ONE!
Life and Disability Insurance, Paid Parental Leave and Adoption Assistance
Health Savings (HSA), Flexible Spending (FSA) and dependent care accounts
Paid Training, Paid Time Off (PTO) and 11 Paid Federal Holidays
401(k) plan with company match, Profit Sharing, competitive compensation in line with work experience
Mental health benefits including coaching and therapy sessions
Tuition Reimbursement for qualifying employees
Employee Ambassador preferred banking products
Additional benefits specific to department if wanted

Apply now if you have a passion for impactful outcomes, enjoy working collaboratively with co-workers, and want to make a difference for the clients and communities we serve.
Show More
Report",99.5,10000+ Employees,Company - Public,Financial Services,Banking & Lending,1955.0, UT,68.0,1,1,1,1,1,0,1,1,0,0,0
"C.H. Robinson
",Data Engineer II,"Eden Prairie, MN","As a Data Engineer for our Managed Services Analytics team at CH Robinson, you will use your passion for analytics and experience in software development to design and develop datasets, databases, and services that will standardize data for Managed Services and Enterprise customer facing analytics business. You will have the opportunity to work with stakeholders to define requirements, design solutions with architecture, work through proof of concepts, and implement solutions. The Managed Services Analytics team is charged with using data to build accessible and scalable domains of subject matter expertise. C.H. Robinson has 100s of terabytes of data and years of building analytical insights. The team mandate is twofold: integrate existing analytics solutions into a new cloud environment and to make data broadly available through a service-oriented architecture.
This role can be located in Minnesota, Chicago or Kansas City
Responsibilities:



Show More
Report",103.0,10000+ Employees,Company - Public,Transportation & Logistics,Shipping & Trucking,1905.0, MN,118.0,0,1,0,1,0,0,0,0,0,0,0
"Verizon
",Data Visualization Engineer,"Basking Ridge, NJ","When you join Verizon
Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.
What you’ll be doing...
The Artificial Intelligence & Data (AI&D) Organization is an exciting center of excellence supporting all of Verizon. Our team will be a catalyst to Verizon's future in creating networks that move the world forward through the power of Artificial Intelligence & Data. Specifically, this position will support the Workforce Optimization (DDPA/FTL/SAIC) program within Core & Access Network Engineering & Operations, including all initiatives related to these programs.
In this hybrid role, you'll have a defined work location that includes work from home and assigned office days set by your manager.
40
Show More
Report",100.0,10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,2000.0, NJ,23.0,0,1,0,0,0,0,0,0,0,0,0
"Visa
",Senior Data Engineer,"Austin, TX","Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.






































Show More
Report",122.0,10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1958.0, TX,65.0,0,1,0,0,0,0,0,0,0,0,1
"Dynatron Software
",Data Engineer,Remote,"At Dynatron Software, we help automotive service departments increase revenue and profitability with our suite of services. We strive to be a people-first company where employees enjoy coming to work, the people they work with, and are given the autonomy to succeed. Our company culture is built on a foundation of teamwork, accountability, integrity, clear communication, and positive attitudes.
We are currently looking to add new talent to our growing team!
About the Role:
We are seeking a dynamic and experienced US, remote-based Data Engineer to join our newly formed Data Platform Team. As a Data Engineer, you will have the opportunity to collaborate with a team of data scientists, engineers, and analysts to create and maintain scalable data pipelines. You will be responsible for writing code in Python, SQL, and occasionally PHP. The ideal candidate will have a strong technical background and a passion for data processing, with the ability to think creatively and strategically to solve complex challenges.
Show More
Report",135.0,51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,1997.0,Remote,26.0,1,1,0,1,1,0,0,0,0,0,0
"Designit
",Data Engineer,Remote,"Want to be part of an amazing team, hell-bent on crafting a better future? We're always looking for creative people who care!
We are analysts. Creators. Designers. Doers. Dreamers. Explorers. Geeks. Hipsters. Leaders. Learners. Renegades. Seekers. Strategists. Visionaries. And we fundamentally believe that we're better together.
We are looking for a Data Engineer to join our enterprise tech client's data and insights team. This is an opportunity to work on a data services platform for monetization, revenue optimization, and business planning.
Would you like to…
Work with senior management, technical and client teams to determine data requirements, business data implementation approaches, best practices for advanced data manipulation, storage, and analysis strategies.
Show More
Report",132.5,501 to 1000 Employees,Company - Private,Management & Consulting,Business Consulting,1991.0,Remote,32.0,0,1,0,0,0,0,0,0,0,0,0
"Workforce Opportunity Services
",Data Engineer,"Atlanta, GA","Workforce Opportunity Services (WOS) is a leading 501(c)(3) nonprofit committed to developing the skills of untapped talent from historically underrepresented communities through partnerships with organizations dedicated to diversifying their workforce.

We celebrate diversity and are committed to creating an inclusive environment for all employees and ensuring a workplace free from all forms of discrimination or harassment. We strongly encourage people of color, women, veterans, people who identify as LGBTQIA, and members of ethnic minorities to apply!

About The Opportunity

Delta Airlines has joined a coalition of leading executives and their companies who came together to upskill, hire and promote one million members of under-served communities over the next 10 years who do not have a four-year degree into family-sustaining jobs. Delta Airlines is currently searching for Data Engineers in Atlanta, GA.







About WOS

Founded in 2005, Workforce Opportunity Services (WOS) is a leading 501(c)(3) nonprofit committed to developing the skills of untapped talent from under-serviced communities through partnerships with organizations dedicated to diversifying their workforce. This includes people of color, women, veterans, first-generation college graduates, and early-career aspirants.

Utilizing a scientifically-based model derived from research conducted at Columbia University, we recruit, educate, train, and place high-potential candidates with leading organizations around the world. To date, WOS has served 6000+ individuals through partnerships with more than 65 corporations in 60+ locations worldwide. For more information, visit wforce.org.
Show More
Report",99.5,51 to 200 Employees,Nonprofit Organization,Nonprofit & NGO,Civic & Social Services,2005.0, GA,18.0,0,1,0,0,0,0,0,0,0,0,0
"Meta
","Data Engineer, Product Analytics",Remote,"As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for our 3 billion plus users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges with efficiency and integrity, at a scale few companies can match.


Data Engineer, Product Analytics Responsibilities:
Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems













Show More
Report",137.5,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2004.0,Remote,19.0,0,1,0,0,0,0,0,0,0,0,0
"CaptionCall, LLC
",Sr. Data Engineer,Remote,"Come be a part of our mission and make a meaningful and positive impact with the industry leading provider of language services for the Deaf and heard-of-hearing!
Benefits
Paid Vacation Time and Paid Sick Time and Paid Holidays
401k 6% match with immediate vesting
Nationwide Medical Insurance plans and coverage (Medical, Dental/Orthodontia, Vision)TeleDoc
HSA company match
3 Medical plan options including a Low Deductible PPO Medical Plan Offering

Show More
Report",144.5,5001 to 10000 Employees,Company - Private,Telecommunications,Telecommunications Services,2010.0,Remote,13.0,0,1,0,0,0,0,0,0,0,0,0
"TapestryHealth
",Principal Data Engineer,Remote,"POSITION SUMMARY:
Looking for a strong data engineer who has experience working with large sets of data and modern cloud technologies. Must be interested in building scalable database solutions to deliver clear business insights from raw data.

PRIMARY RESPONSIBILITIES:
Assist in developing information architecture and data migration strategies.
You will develop database designs and models, as well as relational data definitions.
Code and implement ETL.
Support the development, implementation, and maintenance of master data management systems.
Provide support for master data management (MDM) system development, implementation, and maintenance.
Show More
Report",165.0,51 to 200 Employees,Nonprofit Organization,Nonprofit & NGO,Civic & Social Services,,Remote,,0,1,0,1,0,0,0,0,0,0,0
"Abbott Laboratories
",Data Engineer,"Abbott Park, IL","Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 115,000 colleagues serve people in more than 160 countries.
About Abbott
Abbott is a global healthcare leader, creating breakthrough science to improve people’s health. We’re always looking towards the future, anticipating changes in medical science and technology.
Working at Abbott
At Abbott, you can do work that matters, grow, and learn, care for yourself and family, be your true self and live a full life. You’ll also have access to:

Show More
Report",121.0,10000+ Employees,Company - Public,Healthcare,Health Care Services & Hospitals,1888.0, IL,135.0,0,1,0,0,0,0,0,0,0,0,0
"Gray Digital
",Data Engineer (Remote),Remote,"About the Role
Gray is a human-centered digital services company with a mission to transform critical government services using design and technology. We partner with government agencies to deliver digital solutions that are purposeful, trustworthy, and meet the needs of millions of Americans. We're looking for the most tenacious and mission-obsessed team members committed to nurturing a people-first culture and reimagining how the government serves its citizens.
Our Data Engineer will work on a cross-functional team of engineers, analysts, researchers and product managers directly with the State of Colorado to modernize and improve their internal tools. As a key member of the team, you'll contribute directly to impactful digital services transformation that empowers government agencies and civil servants to better serve the American people by delivering a best-in-class user experience.

Show More
Report",115.0,1 to 50 Employees,Company - Public,,,,Remote,,0,1,0,0,0,0,0,0,0,0,1
"FalconSmartIT
",Sr. Data Engineer,"Dover, DE","Job Title: Sr. Data Engineer
Location: Austin, TX (Remote)
Job Type: Contract


Job Description:






Show More
Report",104.0,1 to 50 Employees,Company - Private,,,, DE,,0,1,0,0,0,0,0,0,0,0,0
"Tegria
",Data Engineer,Remote,"Data Engineer
As a Data Engineer, your work at Tegria will center on strategic opportunities and implementation, process improvement, and growing Tegria as a company. This role will focus on developing, constructing, testing, and maintaining data structures, data pipelines, and architecture. You will recommend and implement ways to improve the readability, efficiency, and quality of data.  A Data Engineer at Tegria will also be focused on delivering data sets for data modeling, data mining, and production reporting.
The role you play
An effective Data Engineer will help the organization on a whole achieve success through:
Data Engineer-Specific Responsibilities

Show More
Report",120.0,Unknown,Company - Private,Healthcare,Health Care Services & Hospitals,2020.0,Remote,3.0,0,1,0,0,0,0,0,0,0,0,0
"Ambry Genetics Corporation
",Data Engineer II (REMOTE-USA),"Aliso Viejo, CA","COMPENSATION: $97,000-$115,000 per year. You are eligible to a Short-Term Incentive Plan with the target at 7.5% of your annual earnings, terms and conditions apply.
JOB OVERVIEW:
The main responsibility of this role is to collaborate with stakeholders across the organization to design methodologies and tools that leverage the vast amount of multimodal available to guide clinical, pharmaceutical, commercial, and business decisions. This position is responsible for creating new clinical data warehousing solutions, data transformations, and data integration assets, as well as supporting changes, enhancements, and maintenance of existing assets in support of clinical data initiatives The role includes building infrastructure to support query functionality for our databases, complex querying of databases, and to perform advanced data interpretation. This role may entail reporting, online analytical processing, analytics, data mining, business performance management, benchmarking, text mining, and predictive analytics. This role collaborates with groups across the organization including Commercial, Clinical, and Lab personnel.

Show More
Report",106.0,501 to 1000 Employees,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1999.0, CA,24.0,0,1,0,0,0,0,0,0,0,0,0
"INTEL
",Data Engineer,"Folsom, CA","Job Description

The responsibilities will include but not limited to:
Use Data Mining, and other data analysis techniques to collect, explore, and extract insights from structure and unstructured data.
Develop software, algorithms and applications to normalize data and build data driven apps to create customized dashboards using Microsoft PowerBI.
Engage with application developers to analyze data and write scripts for data traceability.
Use Data Mining, and other data analysis techniques to collect, explore, and extract insights from structure and unstructured data.




As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art - from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology Development and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth.

US, OR, Hillsboro; US, AZ, Phoenix; US, CA, Folsom

Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Annual Salary Range for jobs which could be performed in US, California: $65,480.00-$87,560.00


This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.

Show More
Report",76.5,10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1968.0, CA,55.0,0,1,0,0,0,0,1,0,0,0,0
"Amplitude
",Data Engineer,"San Francisco, CA","Amplitude is a leading digital analytics platform that helps companies unlock the power of their products. Almost 2,000 customers, including Atlassian, Jersey Mike's, NBCUniversal, Shopify, and Under Armour, rely on Amplitude to gain self-service visibility into the entire customer journey. Amplitude guides companies every step of the way as they capture data they can trust, uncover clear insights about customer behavior, and take faster action. When teams understand how people are using their products, they can deliver better product experiences that drive growth. As an organization, we approach challenges with humility, take ownership of our contributions, and embrace a growth mindset that pushes us to constantly improve ourselves, each other, and the value we bring to customers and partners.
Amplitude's Commitment to Diversity Equity & Inclusion (DEI): Amplitude also believes that diversity enables the creation of better products, improves the ability to solve complex problems, and drives more powerful solutions. We strive to create an environment of inclusion-one focused on psychological safety, empathy, and human connection,-that will allow employees of all backgrounds to thrive.








Show More
Report",186.0,501 to 1000 Employees,Company - Public,Information Technology,Software Development,2012.0, CA,11.0,0,1,0,0,0,0,0,0,0,0,1
"Credible
",Senior BI Data Engineer,"Durham, NC","Who is Credible?
We are a marketplace where users can compare personalized, prequalified rates and quotes from multiple lenders and carriers, for student loans, mortgages, personal loans, and insurance.
We're challenging the status quo by giving power to the consumer. We believe in a world where 'ethical', 'lending', and 'insurance' can coexist, so we set out to build innovative platforms that actually work for customers. Our mission is to help people find the best loan or insurance policy possible.
We believe researching and buying loans or insurance shouldn't be confusing or complex, so we've focused on simplicity. We've created the only unbiased loan and insurance buying process out there, which makes finding options straightforward and clear.



Show More
Report",121.0,201 to 500 Employees,Company - Private,Financial Services,Banking & Lending,2012.0, NC,11.0,0,1,0,0,0,0,0,0,0,0,0
"Amplify Education, Inc.
",Senior Data Engineer,Remote,"A pioneer in K–12 education since 2000, Amplify is leading the way in next-generation curriculum and assessment. Our core and supplemental programs in ELA, math, and science engage all students in rigorous learning and inspire them to think deeply, creatively, and for themselves. Our formative assessment products help teachers identify the targeted instruction students need to build a strong foundation in early reading and math. All of our programs provide educators with powerful tools that help them understand and respond to the needs of every student. Today, Amplify serves more than 10 million students in all 50 states. For more information, visit amplify.com.
Amplify is a leader in creating immersive, rigorous digital learning experiences that look great, play great, and help students expect great things of themselves. Amplify has been described as the best tech company in education, and the best education company in tech.
As an engineer at Amplify, you will join a versatile team solving the toughest problems in education with the best ideas in technology – including user experience, APIs and services, data analysis, and deployment pipelines. You’ll play an active role in imagining and improving product design and the classroom experience.



Show More
Report",150.0,201 to 500 Employees,Company - Private,Education,Primary & Secondary Schools,2000.0,Remote,23.0,0,1,0,0,0,0,0,0,0,0,1
"Union Home Mortgage
",Data Engineer,"Strongsville, OH","Overview:
The Data Engineer will contribute to the development of enterprise analytics products and data management solutions in support of UHM’s strategic initiatives. Their job is to optimize databases, develop ETL solutions, and manage automatized data flow. The Data Engineer will supervise database content and vouch for data quality. This position will function as a technical leader, making sure that the data architecture under your watch is secure and sustainable. You will work together with other teams on developing various data integration strategies. The Data Engineer will work directly with our IT Data Analytics partners to implement the next generation of data visualization and insights.

At UHM, we understand diversity comes in many different forms. It’s our commitment to improve inclusion in the workplace through programs and policies that establish a positive and inclusive environment where every Partner, regardless of their background, can grow and excel. We value diversity, educate on equity, and create inclusive partner opportunities to ensure that you know #UAtUHM!
Responsibilities:
Education & Qualifications:

Show More
Report",92.5,1001 to 5000 Employees,Company - Private,Financial Services,Banking & Lending,1970.0, OH,53.0,0,1,0,0,0,0,0,0,0,0,0
"LeaseQuery
",Data Engineer,"Atlanta, GA","LeaseQuery is looking for a Data Engineer II to join our Engineering team. We’re seeking someone
with a passion for improvement; both in our processes and in yourself. We work in an Agile environment with development teams utilizing Scrum and Kanban. At LeaseQuery, a Data Engineer is a person who focuses on the design, scalability and malleability of our data infrastructure. They work on teams using agile approaches building artifacts needed to sustain the technical systems
beyond data management/ETL (documentation, data dictionaries, designs and so on). The ideal candidate has deep knowledge of SQL database design, experience with data warehouses across multiple databases, and expertise in the design, creation, management, and business use of large datasets.

LeaseQuery's headquarters is located in Atlanta, GA, but this role can sit 100% remote.



Show More
Report",103.5,201 to 500 Employees,Company - Private,Financial Services,Accounting & Tax,2011.0, GA,12.0,0,1,0,1,1,0,0,0,0,0,0
"Technomics
",Junior Data Engineer,"Arlington, VA","Overview
Technomics is a growing employee-owned, decision analytics company that specializes in cost and economic analysis to facilitate better decisions faster. We enable a wide range of clients across the Federal government, from senior level policy makers to program managers, to choose smartly, buy effectively and operate efficiently. We deliver practical, credible and defensible results offering actionable insights by applying data-driven and analytics-based approaches in combination with multidisciplinary talent, subject matter experts, and tangible and repeatable assets in the form of databases, models, approaches and techniques.
Our data engineers have the knowledge, skills, and initiative to deliver timely and innovative data management solutions to our clients. You will function as part of high-performing project team that is responsible for ensuring that organizations throughout the federal government are able to leverage their data to improve both their day-to-day operations and decision-making power. Our data engineers are responsible for shaping the future of analytics for your clients by identifying new data sources, modeling techniques, and ways of leveraging that data.
Show More
Report",87.0,51 to 200 Employees,Company - Private,Aerospace & Defense,Aerospace & Defense,1984.0, VA,39.0,0,1,0,0,0,0,0,0,0,0,0
"Beazer Homes
",Data Engineer,"Atlanta, GA","Overview:
The Data Engineer is responsible for designing, enhancing, and maintaining our organization's data infrastructure including Azure Dedicated SQL Pools, Data Lakes, and traditional on-premise SQL servers. This position designs, builds and manages data pipelines connecting to both on-premise and cloud sources using SSIS as well as Azure Data Factory. The Data Engineer works closely with the Data & Analytics team to ensure that our data infrastructure is efficient, reliable, and scalable.
Company Overview: Beazer Homes is committed to employee wellbeing and life-work balance, offering development opportunities, a flexible time-off program, and an industry leading parental leave policy.

Primary Duties & Responsibilities:
Education & Experience:
Skills & Abilities:
Physical Requirements:





Show More
Report",91.5,1001 to 5000 Employees,Company - Public,Real Estate,Real Estate,1985.0, GA,38.0,0,1,0,1,1,0,0,1,0,0,0
"Kiss Products
",Junior Data Engineer II,"Port Washington, NY","Job Description Summary:
Responsible for the design, development, and maintenance of ETL processes that extract data from SAP systems and load it into BW and other data warehouses. The ideal candidate will have experience with in SAP ERP and BW systems, as well as SAP ABAP and Python programming languages. The ideal candidate will be responsible for developing and maintaining BW system development, designing and developing ETL processes from SAP to the SQL data warehouse, and working closely with cross-functional teams to ensure data accuracy and consistency.
Job Description:
knowledge/experience, skills, ability & attitude Required:
Required Skills:
Bachelor's or Master's degree in Computer Science, Information Systems, or related field.
Show More
Report",99.5,501 to 1000 Employees,Company - Private,Manufacturing,Consumer Product Manufacturing,1989.0, NY,34.0,1,1,0,0,1,0,0,0,0,0,0
"Hashmap
",Junior Data Engineer,"New York, NY","Req ID: 247817
NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.
We are currently seeking a Junior Data Engineer to join our team in New York, New York (US-NY), United States (US).
Responsibilities:
- Expand and optimize the data and data pipeline architecture, as well as optimize data flow and collection for cross functional teams.





Show More
Report",98.5,10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1967.0, NY,56.0,0,1,0,0,0,0,0,0,0,0,0
"MIT
",Data Engineer,"Cambridge, MA","DATA ENGINEER, Research Laboratory of Electronics (RLE), to provide computer science and engineering support to teams in physical sciences and AI research, and develop databases to automatically generate reports for research papers and reports. The work involves strong collaborations with other academic groups, government sponsors, and industry collaborators. Responsibilities include organizing environments and workspaces for scientific simulations; creating ""digital twin"" models of experiments; helping expand and maintain computing systems; developing processes to write research reports, papers, and presentations out of Jupyter notebooks for both theory and experimental papers (here the programming environment ensures that all variables are defined, etc.); collaborating on creating databases for scientific research and reporting; and helping with proposal writing (programming-intensive) reporting.

Headed by Professor Dirk Englund, the Quantum Photonics Group (QPG) pursues experimental and theoretical research in advanced photonics, quantum information science and engineering, and machine learning/AI. The team includes 40+ scientists and engineers and much of its work is heavy in computing. Opportunities exist to be creative and “think big”, e.g., by joining efforts to fundamentally improve the scientific method.

Show More
Report",107.5,10000+ Employees,College / University,Education,Colleges & Universities,1861.0, MA,162.0,0,1,0,0,0,0,0,0,0,0,1
"Meta
",Data Center Facility Operations Reliability Engineer,Remote,"Meta is seeking an experienced and self-motivated Reliability Engineer to join our Global Asset Management team within Facility Operations. This person will work at the leading edge of Facility Operations to identify and manage asset reliability risks that could adversely affect data center operations. Managing stakeholders spread across time zones is a significant challenge and key to the success of our individual projects and overall asset management, quality and reliability program.


Data Center Facility Operations Reliability Engineer Responsibilities:
Support the asset care and maintenance strategies for critical assets based on Meta processes
Support the development of standards, guidelines and processes to execute reliability program function













Show More
Report",162.5,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2004.0,Remote,19.0,0,1,0,0,0,0,0,0,0,0,0
"Oracle
",Data Center Engineer,"Kansas City, MO","The Oracle Health Application & Infrastructure Data Center Engineering team, provides hands-on system implementation, support, monitoring, and maintenance of Oracle Health’s compute hardware running in the data centers.
Technical Skills Required:
Resolve and diagnose server hardware issues at scale.
Identify and help document for the Data Center Engineering knowledge base.
Assist with process improvements and standard methodologies.
Ability to work both independently and as a part of a team.
A desire to learn more about the industry and a passion to make a difference in healthcare.


Show More
Report",81.5,10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,1977.0, MO,46.0,0,1,0,0,0,0,0,0,0,0,0
"MASS MUTUAL FINANCIAL GROUP
",Data Engineer,"Boston, MA","At MassMutual, we’re passionate about helping millions of people find financial freedom and this passion has driven our approach to developing highly interactive digital experiences for our customers. To help us achieve our mission, we are looking to hire data engineers for our Data Management and Engineering team.

What great looks like in this role
Our ideal Data Engineer is someone who is passionate about data.
You enjoy building data projects from the ground up and are equally comfortable working with business
partners to understand requirements as you are developing and delivering robust solutions that meet the highest standards.
Learning new technologies and working in the cloud excite you.
You are team oriented and a strong communicator.





Show More
Report",121.5,5001 to 10000 Employees,Company - Private,Insurance,Insurance Carriers,1851.0, MA,172.0,0,1,0,0,0,0,0,0,0,0,1
Trenchant Employee Services Limited,Junior Big Data Platform Engineer,"Irving, TX","This is a hybrid role, based in G-Research’s office in Dallas.
G-Research is Europe’s leading quantitative finance research firm. We hire the brightest minds in the world to tackle some of the biggest questions in finance. We pair this expertise with machine learning, big data, and some of the most advanced technology available to predict movements in financial markets.
Opened in 2022, the Dallas office is a key infrastructure hub where we work on the latest technologies in a cutting-edge environment.
The role
Our business focuses on forecasting financial markets and we use an ever-growing amount of data and processing to achieve this.



Show More
Report",120.0,,,,,, TX,,0,1,0,0,0,0,0,0,0,0,0
